s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,loc
499,706,595,605,558,587,473,536,769,1054,416,474,792,899,390,463,361,467,545,613,728,378,2159,584,1287,223,695,1
499,706,597,604,555,583,472,534,771,1055,415,475,792,899,392,464,363,467,545,613,727,378,2157,590,1287,222,695,1
499,706,595,598,556,585,475,536,770,1054,415,476,792,899,390,466,363,467,545,612,726,379,2158,589,1285,223,696,1
503,707,595,599,555,582,474,536,769,1054,414,476,792,899,390,465,364,467,545,613,729,379,2157,585,1287,223,694,1
504,706,595,600,553,584,473,539,771,1054,415,474,792,899,387,465,365,467,544,612,728,380,2159,585,1286,223,696,1
501,705,595,604,555,584,473,538,769,1054,415,476,792,899,391,467,373,466,544,613,726,380,2156,585,1286,223,696,1
515,705,597,600,553,583,474,536,771,1055,415,474,792,899,391,465,393,467,545,613,727,379,2158,586,1285,223,695,1
520,705,597,599,553,584,474,535,772,1055,414,477,792,899,390,465,393,467,544,612,729,379,2158,584,1285,222,695,1
562,616,591,600,566,572,472,535,769,1053,415,475,797,899,390,465,423,467,544,613,728,380,2157,585,1286,223,694,2
562,629,593,599,564,572,471,535,771,1055,414,475,792,899,391,466,419,467,545,613,729,379,2156,590,1285,223,695,2
562,636,593,604,566,571,471,537,771,1054,416,474,792,899,390,465,414,467,544,612,727,379,2156,585,1286,223,696,2
562,634,593,598,565,571,470,534,770,1053,415,474,792,899,391,466,414,467,545,613,727,379,2160,590,1285,223,697,2
562,636,594,599,563,570,469,535,770,1055,415,474,792,899,386,467,409,467,545,613,723,379,2157,586,1285,223,696,2
562,639,594,604,563,571,470,535,771,1055,414,477,797,899,389,464,410,467,545,612,726,379,2157,584,1286,223,694,2
562,639,594,599,564,570,472,537,770,1055,416,476,792,899,391,465,409,467,546,613,723,379,2156,585,1285,223,694,2
562,639,594,599,566,570,470,537,769,1054,415,476,792,899,387,463,408,467,545,613,727,379,2160,586,1287,223,696,2
562,639,594,600,566,571,470,535,769,1054,414,476,792,899,391,464,410,467,546,613,729,378,2157,590,1286,223,696,2
562,637,593,600,564,571,470,537,769,1054,415,475,792,899,388,466,409,467,545,612,726,379,2159,585,1286,222,696,2
562,640,593,604,566,571,472,536,769,1055,415,475,792,899,391,467,409,467,546,613,726,379,2160,585,1286,223,695,2
562,639,593,598,564,572,474,535,769,1054,414,475,792,899,390,463,408,467,545,613,725,378,2157,585,1285,223,696,2
561,639,593,598,563,572,471,534,771,1055,415,476,792,899,388,465,410,468,545,612,727,380,2156,589,1286,223,695,2
562,640,593,597,564,572,469,536,769,1055,415,474,797,899,387,465,410,467,546,612,729,379,2159,590,1286,223,695,2
562,637,593,601,564,572,470,535,770,1055,413,475,797,899,390,465,408,467,545,613,725,378,2158,585,1287,223,696,2
562,637,593,601,566,572,470,534,771,1056,414,475,792,899,390,466,409,467,545,612,727,379,2157,586,1286,223,696,2
